OTU;Size;regnum;phylum;classis;ordo;familia;genus;RT1;RB1;LT1;LB1;VAG1;BLANK1;CTR1;BLANK2;RT2;RB2;LT2;LB2;VAG2;CTR2;RT3;RB3;LT3;LB3;VAG3;CTR3;BLANK3;RT4;RB4;LT4;LB4;VAG4;RT5;RB5;LT5;LB5;VAG5
Otu0001;105053;Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Pseudacidovorax;5;3;2;0;15;0;0;0;0;0;7531;45488;1;13;6;1;43138;230;20;430;7703;92;169;107;1;0;1;38;0;12;47
Otu0002;75345;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;0;1;0;0;0;0;0;0;0;0;29198;31694;0;25;1;0;13057;2;16;110;1197;0;40;0;0;0;0;0;0;4;0
Otu0003;59766;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;0;0;0;0;0;0;455;0;23;0;0;0;2;55326;0;0;0;0;4;3880;0;0;0;0;0;0;0;0;0;76;0
Otu0004;29376;Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Nocardiaceae;Rhodococcus;0;2;0;0;0;0;1;0;0;1;24315;2250;2;0;0;0;2788;0;0;15;0;0;0;0;0;0;0;0;0;2;0
Otu0005;20794;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiales_unclassified;Rhizobiales_unclassified;1;3;0;0;0;0;0;0;0;0;3932;4833;0;3;0;0;10936;1;17;63;887;0;93;0;0;0;1;0;1;1;22
Otu0006;15006;Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Weeksellaceae;Chryseobacterium;0;0;0;0;0;0;1;0;0;1;278;6531;0;3;0;0;7273;1;0;32;796;0;0;0;88;0;0;0;0;2;0
Otu0007;12220;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;37;0;0;114;29;212;1497;9586;0;0;0;0;28;74;42;57;0;70;0;46;0;188;31;0;0;0;11;155;0;37;6
Otu0008;11821;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Xanthobacter;0;0;1;0;0;0;0;0;0;0;10037;746;0;66;0;0;548;0;0;4;335;0;0;0;84;0;0;0;0;0;0
Otu0009;11055;Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Hydrogenophaga;0;1;0;0;0;0;0;0;0;0;7932;1328;1;0;0;0;1354;0;0;0;438;0;0;0;0;0;0;0;0;1;0
Otu0010;9440;Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Histophilus;0;0;0;0;893;0;0;0;0;0;0;0;0;119;0;0;0;1;0;83;0;0;0;0;0;0;0;0;0;105;8239
Otu0012;7047;Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;0;0;0;0;0;0;0;0;0;0;4675;974;10;0;0;0;1358;1;0;29;0;0;0;0;0;0;0;0;0;0;0
Otu0013;6332;Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylomonaceae;Methylomonas;0;0;0;0;0;0;0;0;0;0;4723;365;22;0;0;0;491;1;0;10;719;0;0;0;0;0;0;0;0;1;0
Otu0014;5420;Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Ralstonia;0;0;0;0;0;0;0;0;0;0;4635;329;0;65;0;0;277;0;0;92;0;0;22;0;0;0;0;0;0;0;0
Otu0015;5396;Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylomonaceae;Methylomonas;0;0;0;0;0;0;0;0;0;0;3840;612;0;0;0;0;584;0;0;34;326;0;0;0;0;0;0;0;0;0;0
Otu0016;4563;Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;1;32;0;0;0;438;0;0;125;563;492;97;47;187;0;1;47;31;0;115;2261;0;0;0;81;32;0;11;0;2;0
Otu0017;4400;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_UCG-005;0;47;0;1;155;0;385;0;0;0;0;0;69;3;0;0;0;0;904;47;0;0;0;0;0;2110;0;0;0;323;356
Otu0018;4208;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas;0;0;0;0;0;0;4204;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Otu0019;4131;Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4113;0;0;0;1;17
Otu0020;4062;Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Dermacoccaceae;Dermacoccus;0;0;0;0;0;0;0;0;0;0;2922;866;0;0;0;0;274;0;0;0;0;0;0;0;0;0;0;0;0;0;0
